timestamp,open,high,low,close,volume,buy_vol,sell_vol
1778976000000,1392.9,1397.5,1388.3,1389.1,0.0,0.0,0.0
1778979600000,1388.8,1389.1,1382.3,1383.0,0.0,0.0,0.0
1778983200000,1383.2,1392.5,1382.5,1390.6,0.0,0.0,0.0
1778986800000,1390.5,1396.9,1390.5,1392.5,0.0,0.0,0.0
1778990400000,1392.8,1397.1,1391.5,1395.3,0.0,0.0,0.0
1778994000000,1395.2,1396.5,1390.7,1391.9,0.0,0.0,0.0
1778997600000,1392.2,1392.7,1390.1,1391.3,0.0,0.0,0.0
1779001200000,1391.4,1392.8,1389.4,1391.5,0.0,0.0,0.0
1779004800000,1391.5,1395.3,1391.5,1393.2,0.0,0.0,0.0
1779008400000,1393.6,1399.0,1393.5,1396.0,0.0,0.0,0.0
1779012000000,1395.8,1399.7,1395.2,1399.1,0.0,0.0,0.0
1779015600000,1398.9,1399.6,1396.6,1397.5,0.0,0.0,0.0
1779019200000,1398.2,1405.9,1396.8,1405.4,0.0,0.0,0.0
1779022800000,1405.5,1407.5,1395.1,1398.6,0.0,0.0,0.0
1779026400000,1398.5,1398.9,1390.2,1393.2,0.0,0.0,0.0
1779030000000,1393.2,1402.5,1392.4,1399.6,0.0,0.0,0.0
1779033600000,1399.8,1402.0,1397.5,1397.7,0.0,0.0,0.0
1779037200000,1397.6,1398.5,1394.2,1396.7,0.0,0.0,0.0
1779040800000,1396.6,1401.5,1395.6,1401.2,0.0,0.0,0.0
1779044400000,1400.8,1410.0,1400.7,1409.2,0.0,0.0,0.0
1779048000000,1409.5,1413.8,1407.8,1408.0,0.0,0.0,0.0
1779051600000,1408.0,1419.1,1407.1,1415.2,0.0,0.0,0.0
1779055200000,1414.9,1417.9,1398.4,1406.6,0.0,0.0,0.0
1779058800000,1406.4,1406.4,1392.2,1400.4,0.0,0.0,0.0
1779062400000,1400.3,1401.8,1351.5,1373.6,0.0,0.0,0.0
1779066000000,1373.2,1399.8,1361.6,1385.5,0.0,0.0,0.0
1779069600000,1385.4,1417.0,1380.6,1390.4,0.0,0.0,0.0
1779073200000,1390.2,1400.2,1385.3,1393.7,0.0,0.0,0.0
1779076800000,1393.6,1401.6,1386.8,1390.5,0.0,0.0,0.0
1779080400000,1390.2,1395.2,1383.0,1390.2,0.0,0.0,0.0
1779084000000,1390.1,1397.7,1384.8,1397.7,0.0,0.0,0.0
1779087600000,1397.3,1403.1,1393.1,1400.9,0.0,0.0,0.0
1779091200000,1401.3,1427.7,1394.6,1427.5,0.0,0.0,0.0
1779094800000,1427.6,1431.0,1411.6,1414.1,0.0,0.0,0.0
1779098400000,1414.0,1418.3,1404.6,1409.3,1434503.135,676795.506,757707.629
1779102000000,1409.3,1417.9,1392.3,1412.8,1224603.329,654337.928,570265.401
1779105600000,1412.7,1440.9,1409.0,1439.2,1547830.469,941486.862,606343.607
1779109200000,1439.3,1450.3,1346.2,1352.5,1668643.028,959501.222,709141.806
1779112800000,1352.6,1352.6,1306.8,1320.4,16442548.167,8089287.764,8353260.403
1779116400000,1320.9,1333.9,1313.7,1317.2,11391635.128,5466863.048,5924772.08
1779120000000,1317.2,1324.3,1295.7,1309.0,5294138.686000001,2574272.41,2719866.276
1779123600000,1309.2,1309.9,1288.6,1301.9,4915659.613,2247957.894,2667701.719
1779127200000,1301.8,1303.4,1280.4,1291.3,3964939.084,1891780.758,2073158.326
1779130800000,1291.8,1339.3,1290.2,1333.0,3061098.168,1484730.495,1576367.673
1779134400000,1333.2,1334.2,1315.8,1316.3,4680504.907,2227643.137,2452861.77
1779138000000,1316.3,1325.6,1315.9,1325.0,798244.591,358188.415,440056.176
1779141600000,1324.9,1333.2,1323.9,1331.8,282544.537,189626.646,92917.891
1779145200000,1331.6,1337.0,1321.6,1324.1,638642.562,338254.157,300388.405
1779148800000,1324.1,1337.7,1314.8,1316.3,891883.517,267866.436,624017.081
1779152400000,1315.9,1315.9,1295.6,1300.4,1261530.1639999999,581965.427,679564.737
1779156000000,1300.3,1301.6,1288.5,1296.8,2363281.528,1229722.442,1133559.086
1779159600000,1296.6,1312.0,1294.1,1308.5,1551254.383,862575.528,688678.855
1779163200000,1308.6,1308.7,1297.8,1303.0,879711.14,438519.531,441191.609
1779166800000,1303.2,1307.4,1297.4,1304.3,989889.007,464692.01,525196.997
1779170400000,1304.3,1316.8,1301.2,1316.8,723765.389,346843.449,376921.94
1779174000000,1316.7,1331.5,1316.3,1327.0,627924.827,296862.229,331062.598
1779177600000,1327.1,1330.5,1298.3,1308.0,1422789.9619999998,768315.744,654474.218
1779181200000,1307.9,1310.1,1292.1,1300.7,2162354.192,1055478.672,1106875.52
1779184800000,1300.6,1305.8,1291.7,1305.8,1643663.149,835361.792,808301.357
1779188400000,1305.9,1306.4,1291.4,1291.5,1380694.268,859961.32,520732.948
1779192000000,1291.4,1303.6,1288.1,1295.5,1081983.611,562296.206,519687.405
1779195600000,1295.6,1351.1,1284.0,1330.0,1289621.8900000001,662189.775,627432.115
1779199200000,1330.0,1333.4,1280.3,1313.1,18135931.496,9960271.415,8175660.081
1779202800000,1313.3,1332.5,1304.3,1328.0,15255161.802,6977186.776,8277975.026
1779206400000,1328.2,1382.3,1327.3,1370.7,5570978.07,2920389.865,2650588.205
1779210000000,1370.8,1389.8,1368.0,1379.7,12175592.954,6568395.382,5607197.572
