timestamp,open,high,low,close,volume,buy_vol,sell_vol,delta,cvd,trades
1781692860000,64840.0,64896.8,64834.5,64892.3,733.4199999999987,574.4599999999991,158.95999999999998,415.49999999999915,415.49999999999915,474
1781692920000,64892.3,64900.0,64870.9,64878.9,834.7399999999994,541.9399999999997,292.79999999999984,249.13999999999987,664.639999999999,370
1781692980000,64878.9,64879.4,64870.0,64879.4,768.6899999999982,323.9999999999997,444.68999999999977,-120.69000000000005,543.9499999999989,277
1781693040000,64879.4,64898.6,64879.3,64886.2,539.2599999999981,222.43999999999988,316.8199999999994,-94.37999999999954,449.56999999999937,339
1781693100000,64886.1,64920.8,64880.9,64920.8,2476.0799999999977,2092.1399999999976,383.9399999999999,1708.1999999999978,2157.7699999999973,654
1781693160000,64920.7,64920.8,64887.0,64887.0,4317.240000000015,2359.180000000008,1958.0599999999974,401.1200000000106,2558.8900000000076,488
1781693220000,64887.0,64891.8,64840.0,64859.4,3333.6800000000103,979.999999999999,2353.6800000000007,-1373.6800000000017,1185.210000000006,804
1781693280000,64859.4,64879.4,64840.0,64840.1,1803.6299999999985,485.54999999999984,1318.0799999999983,-832.5299999999985,352.68000000000745,501
1781693340000,64840.0,64854.3,64806.0,64850.2,7537.0900000000665,2358.0400000000072,5179.050000000031,-2821.010000000024,-2468.3300000000163,1056
1781693400000,64850.2,64870.0,64820.3,64830.6,3083.4600000000232,1360.3499999999988,1723.1099999999963,-362.7599999999975,-2831.090000000014,809
1781693460000,64830.7,64849.1,64814.7,64821.1,4782.330000000021,1102.8799999999987,3679.450000000004,-2576.570000000005,-5407.660000000019,650
1781693520000,64821.2,64846.3,64801.5,64846.2,2670.430000000011,972.2999999999976,1698.1299999999983,-725.8300000000007,-6133.49000000002,651
1781693580000,64846.2,64846.3,64800.0,64800.1,2712.799999999998,544.9699999999997,2167.829999999997,-1622.8599999999974,-7756.350000000017,595
1781693640000,64800.0,64802.9,64780.0,64791.2,8156.700000000041,1920.3399999999976,6236.360000000019,-4316.020000000021,-12072.370000000039,896
1781693700000,64791.2,64796.1,64780.0,64783.7,5053.890000000037,1778.389999999997,3275.50000000001,-1497.110000000013,-13569.480000000052,609
1781693760000,64783.7,64783.7,64741.9,64752.0,26763.86999999976,2875.290000000001,23888.57999999987,-21013.28999999987,-34582.769999999924,1883
1781693820000,64752.0,64769.8,64750.2,64764.0,4911.630000000011,3144.980000000001,1766.6499999999996,1378.3300000000013,-33204.43999999992,579
1781693880000,64764.0,64766.0,64742.7,64751.0,11815.930000000088,6155.470000000018,5660.460000000036,495.009999999982,-32709.429999999942,901
1781693940000,64751.0,64765.9,64724.4,64765.9,7710.140000000038,3105.7500000000164,4604.3899999999985,-1498.6399999999821,-34208.06999999993,918
1781694000000,64765.9,64824.8,64750.0,64754.0,13668.860000000179,9471.520000000079,4197.340000000012,5274.180000000067,-28933.88999999986,1660
1781694060000,64760.4,64769.1,64743.5,64750.9,2563.500000000017,1323.479999999997,1240.0199999999977,83.45999999999935,-28850.429999999862,717
1781694060000,64754.0,64769.1,64728.9,64750.9,4771.050000000077,2333.4800000000064,2437.570000000013,-104.09000000000651,-29037.97999999987,1294
1781694120000,64750.8,64750.9,64702.2,64716.9,7360.970000000036,1618.349999999999,5742.620000000009,-4124.2700000000095,-32974.69999999987,1235
1781694120000,64750.8,64750.9,64702.2,64716.9,7360.970000000036,1618.349999999999,5742.620000000009,-4124.2700000000095,-33162.249999999876,1235
1781694180000,64716.9,64726.2,64700.1,64726.2,7971.390000000039,4535.170000000018,3436.2200000000116,1098.9500000000066,-31875.749999999865,867
1781694180000,64716.9,64726.2,64700.1,64726.2,7971.390000000039,4535.170000000018,3436.2200000000116,1098.9500000000066,-32063.29999999987,867
1781694240000,64726.1,64726.2,64638.2,64679.5,44208.46000000004,12167.960000000088,32040.49999999974,-19872.53999999965,-51935.839999999516,3187
1781694240000,64726.1,64726.2,64638.2,64679.5,44208.46000000004,12167.960000000088,32040.49999999974,-19872.53999999965,-51748.28999999951,3187
1781694300000,64679.4,64679.5,64533.0,64593.9,75301.2299999988,18117.22999999999,57184.00000000039,-39066.770000000404,-91002.60999999993,6528
1781694300000,64679.4,64679.5,64533.0,64593.9,75301.2299999988,18117.22999999999,57184.00000000039,-39066.770000000404,-90815.05999999991,6528
1781694360000,64594.0,64676.8,64593.9,64656.0,42810.10000000024,29562.949999999368,13247.150000000147,16315.79999999922,-74499.2600000007,3681
