timestamp,open,high,low,close,volume,buy_vol,sell_vol,delta,cvd,trades
1781692860000,72.24,72.34,72.24,72.33,1510.49,1078.2699999999998,432.21999999999997,646.0499999999997,646.0499999999997,36
1781692920000,72.33,72.34,72.28,72.32,1183.1499999999994,227.77,955.3799999999999,-727.6099999999999,-81.56000000000017,77
1781692980000,72.32,72.32,72.28,72.32,1057.02,739.6800000000002,317.34,422.3400000000002,340.78000000000003,68
1781693040000,72.33,72.36,72.32,72.34,2249.45,1994.4399999999998,255.01,1739.4299999999998,2080.21,62
1781693100000,72.34,72.4,72.33,72.4,1427.89,949.69,478.2,471.49000000000007,2551.7000000000003,43
1781693160000,72.4,72.41,72.33,72.35,1211.8599999999994,84.59,1127.27,-1042.68,1509.0200000000002,36
1781693220000,72.34,72.36,72.24,72.29,2276.9400000000005,565.6099999999999,1711.3300000000004,-1145.7200000000005,363.2999999999997,81
1781693280000,72.28,72.32,72.24,72.24,2840.92,1279.2800000000002,1561.6399999999999,-282.3599999999997,80.94000000000005,78
1781693340000,72.25,72.29,72.19,72.27,6860.010000000002,1948.8999999999999,4911.110000000001,-2962.210000000001,-2881.270000000001,93
1781693400000,72.28,72.32,72.25,72.27,1052.24,531.0500000000001,521.1899999999999,9.860000000000127,-2871.4100000000008,38
1781693460000,72.28,72.32,72.26,72.28,2640.8600000000015,867.6599999999999,1773.2,-905.5400000000002,-3776.9500000000007,63
1781693520000,72.28,72.34,72.25,72.33,1098.6099999999994,253.01000000000005,845.5999999999997,-592.5899999999997,-4369.540000000001,66
1781693580000,72.33,72.33,72.23,72.24,607.2299999999999,178.67000000000002,428.55999999999995,-249.88999999999993,-4619.430000000001,65
1781693640000,72.23,72.25,72.21,72.24,7869.349999999999,800.6000000000001,7068.75,-6268.15,-10887.580000000002,66
1781693700000,72.25,72.25,72.19,72.19,6922.24,189.81,6732.429999999999,-6542.619999999999,-17430.2,54
1781693760000,72.19,72.21,72.16,72.18,3523.1600000000003,278.78,3244.380000000001,-2965.6000000000013,-20395.800000000003,74
1781693820000,72.17,72.17,72.14,72.16,8927.040000000003,2292.6900000000005,6634.350000000001,-4341.660000000001,-24737.460000000003,81
1781693880000,72.16,72.17,72.06,72.09,33433.669999999984,1517.3000000000006,31916.36999999995,-30399.069999999952,-55136.529999999955,419
1781693940000,72.1,72.12,72.07,72.1,19551.459999999995,14150.060000000001,5401.399999999998,8748.660000000003,-46387.86999999995,109
1781694000000,72.1,72.2,72.07,72.07,12366.910000000002,5620.129999999997,6746.78,-1126.6500000000024,-47514.51999999995,278
1781694060000,72.06,72.07,71.98,72.03,15372.410000000084,3176.049999999998,12196.36000000009,-9020.310000000092,-56534.830000000045,713
1781694060000,72.07,72.08,71.98,72.03,24043.759999999813,6467.45,17576.309999999794,-11108.859999999793,-58623.37999999974,839
1781694120000,72.03,72.03,71.93,71.94,15097.420000000004,3049.4100000000003,12048.010000000004,-8998.600000000004,-67621.97999999975,273
1781694120000,72.03,72.03,71.93,71.94,15097.420000000004,3049.4100000000003,12048.010000000004,-8998.600000000004,-65533.43000000005,273
1781694180000,71.95,71.96,71.83,71.87,47220.42999999998,6219.560000000001,41000.869999999995,-34781.31,-100314.74000000005,377
1781694180000,71.95,71.96,71.83,71.87,47220.42999999998,6219.560000000001,41000.869999999995,-34781.31,-102403.28999999975,377
1781694240000,71.87,71.94,71.85,71.86,18131.709999999995,5737.399999999998,12394.310000000001,-6656.9100000000035,-109060.19999999975,283
1781694240000,71.87,71.94,71.85,71.86,18131.709999999995,5737.399999999998,12394.310000000001,-6656.9100000000035,-106971.65000000005,283
1781694300000,71.85,71.86,71.66,71.76,46199.119999999704,19804.67000000009,26394.450000000055,-6589.779999999966,-113561.43000000002,1175
1781694300000,71.85,71.86,71.66,71.76,46199.119999999704,19804.67000000009,26394.450000000055,-6589.779999999966,-115649.97999999972,1175
1781694360000,71.76,72.01,71.76,72.0,18717.559999999998,12245.810000000005,6471.750000000002,5774.060000000003,-107787.37000000002,336
1781694360000,71.76,72.01,71.76,72.0,18717.559999999998,12245.810000000005,6471.750000000002,5774.060000000003,-109875.91999999972,336
1781694420000,71.99,72.08,71.93,71.97,14040.759999999998,8934.460000000006,5106.300000000002,3828.1600000000044,-103959.21000000002,237
1781694420000,71.99,72.08,71.93,71.97,14040.759999999998,8934.460000000006,5106.300000000002,3828.1600000000044,-106047.75999999972,237
1781694480000,71.96,72.04,71.92,71.96,15262.869999999995,6480.269999999998,8782.600000000004,-2302.3300000000063,-108350.08999999972,197
1781694480000,71.96,72.04,71.92,71.96,15262.869999999995,6480.269999999998,8782.600000000004,-2302.3300000000063,-106261.54000000002,197
1781694540000,71.95,72.0,71.95,71.96,5656.170000000006,3722.45,1933.7199999999998,1788.73,-106561.35999999972,139
1781694540000,71.95,72.0,71.95,71.96,5656.170000000006,3722.45,1933.7199999999998,1788.73,-104472.81000000003,139
1781694600000,71.96,72.06,71.96,72.04,27992.369999999984,26966.429999999986,1025.94,25940.489999999987,-80620.86999999973,194
1781694600000,71.96,72.06,71.96,72.04,27992.369999999984,26966.429999999986,1025.94,25940.489999999987,-78532.32000000004,194
1781694660000,72.04,72.09,71.98,72.04,11905.160000000002,8736.03,3169.1300000000006,5566.9,-72965.42000000004,152
1781694660000,72.04,72.09,71.98,72.04,11905.160000000002,8736.03,3169.1300000000006,5566.9,-75053.96999999974,152
1781694720000,72.04,72.06,71.98,72.03,5480.840000000005,4693.900000000001,786.9399999999999,3906.9600000000005,-69058.46000000004,121
1781694720000,72.04,72.06,71.98,72.03,5480.840000000005,4693.900000000001,786.9399999999999,3906.9600000000005,-71147.00999999973,121
1781694780000,72.04,72.06,71.94,71.98,2682.17,1799.8500000000006,882.3199999999994,917.5300000000012,-68140.93000000004,128
1781694780000,72.04,72.06,71.94,71.98,2682.17,1799.8500000000006,882.3199999999994,917.5300000000012,-70229.47999999973,128
1781694840000,71.99,72.0,71.93,71.98,5523.700000000001,245.00000000000003,5278.700000000001,-5033.700000000001,-73174.63000000003,88
1781694840000,71.99,72.0,71.93,71.98,5523.700000000001,245.00000000000003,5278.700000000001,-5033.700000000001,-75263.17999999973,88
1781694900000,71.99,71.99,71.9,71.97,8259.820000000002,6839.850000000002,1419.9699999999993,5419.880000000003,-69843.29999999973,123
1781694900000,71.99,71.99,71.9,71.97,8259.820000000002,6839.850000000002,1419.9699999999993,5419.880000000003,-67754.75000000003,123
1781694960000,71.96,71.97,71.85,71.94,4456.959999999998,1390.3000000000002,3066.660000000001,-1676.360000000001,-69431.11000000003,137
1781694960000,71.96,71.97,71.85,71.94,4456.959999999998,1390.3000000000002,3066.660000000001,-1676.360000000001,-71519.65999999973,137
1781695020000,71.93,71.94,71.77,71.8,6000.880000000012,2284.64,3716.24,-1431.6,-72951.25999999973,221
1781695020000,71.93,71.94,71.77,71.8,6000.880000000012,2284.64,3716.24,-1431.6,-70862.71000000004,221
1781695080000,71.81,71.86,71.79,71.8,5023.950000000003,2526.3999999999996,2497.549999999999,28.85000000000082,-70833.86000000003,152
1781695080000,71.81,71.86,71.79,71.8,5023.950000000003,2526.3999999999996,2497.549999999999,28.85000000000082,-72922.40999999973,152
1781695140000,71.8,71.95,71.8,71.95,2064.320000000001,939.87,1124.45,-184.58000000000004,-73106.98999999973,103
1781695140000,71.8,71.95,71.8,71.95,2064.320000000001,939.87,1124.45,-184.58000000000004,-71018.44000000003,103
1781695200000,71.95,72.03,71.93,71.97,13736.030000000002,9828.590000000002,3907.440000000001,5921.1500000000015,-67185.83999999973,212
1781695200000,71.95,72.03,71.93,71.97,13736.030000000002,9828.590000000002,3907.440000000001,5921.1500000000015,-65097.29000000003,212
1781695260000,71.97,72.04,71.96,72.01,9693.82,4913.06,4780.759999999998,132.300000000002,-67053.53999999973,107
1781695260000,71.97,72.04,71.96,72.01,9693.82,4913.06,4780.759999999998,132.300000000002,-64964.99000000003,107
1781695320000,72.01,72.03,71.89,71.89,7601.570000000006,2664.1599999999994,4937.410000000002,-2273.2500000000023,-67238.24000000003,105
